idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
172,8.683333333333334,0.4045084971874746,-0.2938926261462354,-19.433333333333337,0.9232909152452247,1.2708009230788175,2.8333333333333335,-1.2708009230788175,0.9232909152452247,0.4722222222222222,0,70,0,0,0
173,8.733333333333334,0.4455032620941839,-0.22699524986977332,-19.575000000000003,0.7131266093906593,1.3995897753453768,2.8333333333333335,-1.3995897753453765,0.7131266093906593,0.4722222222222222,0,70,0,0,0
174,8.783333333333333,0.47552825814757693,-0.1545084971874732,-19.71666666666667,0.48540275968136504,1.4939160823707784,2.8333333333333335,-1.4939160823707784,0.4854027596813651,0.4722222222222222,0,70,0,0,0
175,8.833333333333334,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0.2457266830693218,1.5514572174249885,2.8333333333333335,-1.5514572174249885,0.24572668306932183,0.4722222222222222,0,70,0,0,0
176,8.883333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,60,0,0,0
177,8.933333333333334,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,60,0,0,0
178,8.983333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,60,0,0,0
179,9.033333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,60,0,0,0
180,9.083333333333332,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,60,0,0,0
181,9.133333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,60,0,0,0
182,9.183333333333334,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,60,0,0,0
183,9.233333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,60,0,0,0
184,9.283333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,60,0,0,0
185,9.333333333333332,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,60,0,0,0
186,9.383333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,80,0,0,0
187,9.433333333333334,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,80,0,0,0
188,9.483333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,80,0,0,0
189,9.533333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,80,0,0,0
190,9.583333333333332,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,80,0,0,0
191,9.633333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,80,0,0,0
192,9.683333333333334,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,80,0,0,0
193,9.733333333333333,0.49384417029756866,-0.07821723252011624,-19.858333333333334,0,0,0,0,0,0,0,80,0,0,0
