idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
149,7.5,4.962483445647372,3.3725002671127835,-3,-2.119004412678227,3.1180203072813493,0,-1.9591099382197752,-1.3314097391588546,0,0,70,0,0,0
150,7.55,4.854101966249685,3.526711513754839,-3,-2.2158981965885483,3.049922215389156,0,-1.9163226451773758,-1.3922898991010908,0,0,70,0,0,0
151,7.6,4.740930074254141,3.6774423219178587,-3,-2.3106051565074672,2.9788142184919453,0,-1.8716441730446232,-1.4517960370061107,0,0,70,0,0,0
152,7.65,4.623079456654736,3.8245439384921385,-3,-2.403031828099655,2.9047664915976816,0,-1.825118614079415,-1.5098694275000653,0,0,70,0,0,0
153,7.7,4.500666417782757,3.967871191941912,-3,-2.493086997399057,2.8278521108729198,0,-1.776791883391351,-1.566452759157823,0,0,70,0,0,0
154,7.75,4.373811764528469,4.107282635572132,-3,-2.580681790826067,2.7481469815254496,0,-1.7267116736290635,-1.6214901910624246,0,0,70,0,0,0
155,7.8,4.242640687119286,4.242640687119285,-3,-2.6657297628950194,2.66572976289502,0,-1.6749274079133312,-1.674927407913331,0,0,70,0,0,0
156,7.85,4.1072826355721315,4.373811764528469,-3,-2.7481469815254496,2.580681790826066,0,-1.6214901910624244,-1.7267116736290635,0,0,70,0,0,0
157,7.9,3.967871191941912,4.500666417782757,-3,-2.8278521108729198,2.493086997399057,0,-1.566452759157823,-1.776791883391351,0,0,70,0,0,0
158,7.95,3.8245439384921376,4.623079456654736,-3,-2.904766491597682,2.403031828099655,0,-1.5098694275000653,-1.8251186140794153,0,0,70,0,0,0
159,8.0,3.6774423219178587,4.740930074254143,-3,-2.9788142184919453,2.310605156507467,0,-1.4517960370061105,-1.8716441730446234,0,0,70,0,0,0
160,8.05,3.5267115137548384,4.854101966249685,-3,-3.049922215389156,2.2158981965885483,0,-1.3922898991010908,-1.9163226451773758,0,0,70,0,0,0
161,8.1,3.372500267112784,4.962483445647371,-3,-3.1180203072813493,2.119004412678227,0,-1.3314097391588546,-1.9591099382197752,0,0,70,0,0,0
162,8.15,3.2149607698739793,5.06596755301209,-3,-3.1830412895734086,2.0200194272430956,0,-1.2692156385471143,-1.9999638262793604,0,0,70,0,0,0
163,8.2,3.054248494502229,5.164452162023661,-3,-3.2449209944058914,1.9190409265131776,0,-1.2057689753343896,-2.038843991500967,0,0,70,0,0,0
164,8.25,2.8905220446102913,5.257840080263183,-3,-3.3035983539809566,1.8161685640774075,0,-1.1411323637172615,-2.0757120638555815,0,0,70,0,0,0
165,8.3,2.7239429984372805,5.346039145130207,-3,-3.3590154608289033,1.7115038625375831,0,-1.0753695922277253,-2.110531659006923,0,0,70,0,0,0
166,8.35,2.5546757493904355,5.4289623147961175,-3,-3.411117624955864,1.6051501133177986,0,-1.008545560781604,-2.1432684142184013,0,0,70,0,0,0
167,8.4,2.382887343808683,5.506527754103887,-3,-3.4598534278162147,1.4972122747282912,0,-0.9407262166301724,-2.173890022264977,0,0,70,0,0,0
168,8.45,2.2087473161080684,5.578658915329508,-3,-3.505174773056477,1.387796868384256,0,-0.87197848927818,-2.2023662633165,0,0,70,0,0,0
169,8.5,2.0324275214717478,5.645284613725353,-3,-3.5470369339806127,1.2770118740818708,0,-0.8023702244325079,-2.2286690347610314,0,0,70,0,0,0
170,8.55,1.8541019662496847,5.706339097770921,-3,-3.585398597689867,1.16496662323528,0,-0.7319701170466528,-2.2527723789387264,0,0,70,0,0,0
171,8.6,1.6739466362353745,5.761762114061659,-3,-3.620221905853621,1.0517716909796797,0,-0.6608476435270951,-2.2746525087589147,0,0,70,0,0,0
172,8.65,1.4921393229891287,5.8114989667717865,-3,-3.651472492070984,0.9375387870470187,0,-0.5890729931684799,-2.294287831175083,0,0,70,0,0,0
173,8.7,1.3088594483792564,5.855500571632484,-3,-3.679119515786289,0.8223806455219721,0,-0.5167169988852518,-2.3116589684946085,0,0,70,0,0,0
174,8.75,1.1242878875143472,5.893723504372132,-3,-3.703135692724996,0.7064109135870121,0,-0.44385106730812235,-2.3267487775021998,0,0,70,0,0,0
175,8.8,0.9386067902413853,5.926130043570827,-3,-3.7234973218199743,0.5897440393663664,0,-0.3705471083143494,-2.33954236637818,0,0,70,0,0,0
176,8.85,0.7519994013858238,5.952688207886867,-3,-3.7401843086015942,0.47249515897952554,0,-0.2968774640613637,-2.350027109394918,0,0,70,0,0,0
177,8.9,0.5646498799110855,5.97337178761848,-3,-3.753180185028549,0.35477998291580515,0,-0.22291483759380118,-2.3581926593768943,0,0,70,0,0,0
178,8.95,0.37674311717587994,5.988160370569629,-3,-3.7624721257398157,0.23671468184205255,0,-0.14873222109436748,-2.3640309579121155,0,0,70,0,0,0
179,9.0,0.1884645544687693,5.997039362194389,-3,-3.7680509607117423,0.11841577195623162,0,-0.07440282384937232,-2.3675362433047944,0,0,70,0,0,0
180,9.05,0.0,6.0,-3,-3.7699111843077517,2.3084048324661477e-16,0,-1.4504135326373654e-16,-2.368705056261446,0,0,70,0,0,0
181,9.1,-0.18846455446877108,5.997039362194389,-3,-3.7680509607117423,-0.11841577195623287,0,0.07440282384937309,-2.3675362433047944,0,0,70,0,0,0
182,9.15,-0.3767431171758808,5.988160370569629,-3,-3.7624721257398157,-0.23671468184205285,0,0.1487322210943677,-2.3640309579121155,0,0,70,0,0,0
183,9.2,-0.5646498799110864,5.97337178761848,-3,-3.753180185028549,-0.3547799829158055,0,0.22291483759380137,-2.3581926593768943,0,0,70,0,0,0
184,9.25,-0.7519994013858247,5.952688207886867,-3,-3.7401843086015942,-0.4724951589795259,0,0.296877464061364,-2.350027109394918,0,0,70,0,0,0
185,9.3,-0.9386067902413835,5.926130043570827,-3,-3.7234973218199743,-0.5897440393663652,0,0.3705471083143486,-2.33954236637818,0,0,70,0,0,0
186,9.35,-1.1242878875143472,5.893723504372132,-3,-3.703135692724996,-0.7064109135870125,0,0.44385106730812246,-2.3267487775021998,0,0,70,0,0,0
187,9.4,-1.3088594483792555,5.855500571632485,-3,-3.6791195157862893,-0.8223806455219715,0,0.5167169988852516,-2.311658968494609,0,0,70,0,0,0
188,9.45,-1.4921393229891304,5.8114989667717865,-3,-3.651472492070984,-0.9375387870470199,0,0.5890729931684807,-2.294287831175083,0,0,70,0,0,0
189,9.5,-1.6739466362353763,5.761762114061659,-3,-3.620221905853621,-1.0517716909796806,0,0.6608476435270957,-2.2746525087589147,0,0,70,0,0,0
190,9.55,-1.8541019662496838,5.706339097770922,-3,-3.585398597689867,-1.1649666232352796,0,0.7319701170466526,-2.252772378938727,0,0,70,0,0,0
191,9.6,-2.032427521471749,5.6452846137253525,-3,-3.547036933980612,-1.2770118740818717,0,0.8023702244325084,-2.228669034761031,0,0,70,0,0,0
192,9.65,-2.208747316108068,5.578658915329508,-3,-3.505174773056477,-1.3877968683842556,0,0.8719784892781799,-2.2023662633165,0,0,70,0,0,0
193,9.7,-2.382887343808684,5.506527754103887,-3,-3.4598534278162147,-1.4972122747282914,0,0.9407262166301728,-2.173890022264977,0,0,70,0,0,0
194,9.75,-2.5546757493904364,5.428962314796117,-3,-3.411117624955863,-1.605150113317799,0,1.008545560781604,-2.143268414218401,0,0,70,0,0,0
195,9.8,-2.72394299843728,5.346039145130208,-3,-3.3590154608289033,-1.7115038625375825,0,1.0753695922277249,-2.110531659006923,0,0,70,0,0,0
196,9.85,-2.8905220446102904,5.257840080263183,-3,-3.3035983539809566,-1.8161685640774075,0,1.1411323637172612,-2.0757120638555815,0,0,70,0,0,0
197,9.9,-3.054248494502228,5.164452162023662,-3,-3.2449209944058923,-1.919040926513177,0,1.2057689753343894,-2.038843991500967,0,0,70,0,0,0
198,9.95,-3.214960769873981,5.06596755301209,-3,-3.1830412895734086,-2.020019427243097,0,1.269215638547115,-1.9999638262793604,0,0,70,0,0,0
199,10.0,-3.372500267112784,4.96248344564737,-3,-3.1180203072813484,-2.1190044126782275,0,1.3314097391588546,-1.9591099382197747,0,0,70,0,0,0
200,10.05,-3.5267115137548384,4.854101966249685,-3,-3.049922215389156,-2.215898196588548,0,1.3922898991010906,-1.9163226451773758,0,0,70,0,0,0
201,10.1,-3.6774423219178596,4.740930074254142,-3,-2.9788142184919453,-2.3106051565074677,0,1.451796037006111,-1.8716441730446232,0,0,70,0,0,0
202,10.15,-3.8245439384921385,4.623079456654736,-3,-2.904766491597682,-2.403031828099655,0,1.5098694275000653,-1.8251186140794153,0,0,70,0,0,0
203,10.2,-3.9678711919419123,4.500666417782757,-3,-2.8278521108729198,-2.4930869973990575,0,1.566452759157823,-1.776791883391351,0,0,70,0,0,0
204,10.25,-4.107282635572132,4.373811764528469,-3,-2.7481469815254496,-2.580681790826067,0,1.6214901910624246,-1.7267116736290635,0,0,70,0,0,0
