idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
388,19.4,-1.6269465723032002,3.654181830570404,-3.5,-0.7653300529200855,-0.34074689328872193,0,0.07136586244595959,-0.16029035145501522,0,0,70,0,0,0
389,19.450000000000003,-1.665123169041606,3.6369444361882737,-3.5,-0.7617198614828902,-0.3487425810122176,0,0.07304047536679506,-0.15953423472853884,0,0,70,0,0,0
390,19.5,-1.7031171662602906,3.619308209864078,-3.5,-0.7580261388790809,-0.35670002518173305,0,0.07470707857641512,-0.1587606232754371,0,0,70,0,0,0
391,19.55,-1.7409243974893096,3.601275085608774,-3.5,-0.7542492901669652,-0.36461835317384345,0,0.07636548931299701,-0.1579696019309236,0,0,70,0,0,0
392,19.6,-1.7785407167397107,3.582847040957651,-3.5,-0.7503897295205657,-0.3724966966546533,0,0.07801552571311496,-0.15716125743940274,0,0,70,0,0,0
393,19.65,-1.815961998958187,3.5640260967534716,-3.5,-0.7464478801842008,-0.38033419167501836,0,0.07965700683168334,-0.1563356784449573,0,0,70,0,0,0
394,19.700000000000003,-1.8531841404794474,3.5448143169248585,-3.5,-0.7424241744260703,-0.3881299787652898,0,0.0812897526617998,-0.15549295548162734,0,0,70,0,0,0
395,19.75,-1.8902030594762174,3.525213808259968,-3.5,-0.7383190534908542,-0.39588320302956237,0,0.08291358415448465,-0.1546331809634825,0,0,70,0,0,0
396,19.8,-1.9270146964068617,3.505226720175454,-3.5,-0.7341329675513234,-0.4035930142394241,0,0.08452832323831572,-0.15375644917448744,0,0,70,0,0,0
397,19.85,-1.9636150144605633,3.484855244480758,-3.5,-0.729866375658974,-0.41125856692719476,0,0.08613379283895609,-0.15286285625816276,0,0,70,0,0,0
398,19.9,-1.9999999999999991,3.464101615137755,-3.5,-0.7255197456936872,-0.4188790204786389,0,0.08772981689857204,-0.1519525002070415,0,0,70,0,0,0
399,19.950000000000003,-2.0361656630014853,3.4429681080157746,-3.5,-0.7210935543124204,-0.42645353922515045,0,0.08931622039513995,-0.1510254808519235,0,0,70,0,0,0
400,20.0,-2.0721080374925216,3.421457040642026,-3.5,-0.7165882868969375,-0.4339812925353913,0,0.09089282936163921,-0.1500818998509276,0,0,70,0,0,0
401,20.05,-2.1078231819867104,3.3995707719474555,-3.5,-0.7120044375005805,-0.4414614549063807,0,0.09245947090512983,-0.1491218606783438,0,0,70,0,0,0
402,20.1,-2.1433071799159875,3.37731170200806,-3.5,-0.7073425087940907,-0.44889320605402155,0,0.09401597322571223,-0.14814546861328595,0,0,70,0,0,0
403,20.15,-2.178556140060107,3.354682271781697,-3.5,-0.7026030120104865,-0.45627573100305124,0,0.09556216563536656,-0.14715283072814705,0,0,70,0,0,0
404,20.200000000000003,-2.2135661969733773,3.3316849628403973,-3.5,-0.6977864668889983,-0.4636082201764173,0,0.09709787857667146,-0.14614405587685697,0,0,70,0,0,0
405,20.25,-2.248333511408524,3.308322297098246,-3.5,-0.6928934016180772,-0.4708898694840508,0,0.09862294364139672,-0.14511925468294623,0,0,70,0,0,0
406,20.3,-2.2828542707377264,3.2845968365348166,-3.5,-0.6879243527774703,-0.4781198804110484,0,0.10013719358897201,-0.14407853952741426,0,0,70,0,0,0
407,20.35,-2.317124689370716,3.260511182914217,-3.5,-0.682879865279378,-0.48529746010523817,0,0.1016404623648268,-0.14302202453640545,0,0,70,0,0,0
408,20.4,-2.351141009169892,3.23606797749979,-3.5,-0.6777604923087013,-0.4924218214641217,0,0.1031325851185993,-0.14194982556869448,0,0,70,0,0,0
409,20.450000000000003,-2.3848994998624637,3.211269900764458,-3.5,-0.6725667952623763,-0.49949218322119254,0,0.10461339822221502,-0.1408620602029808,0,0,70,0,0,0
410,20.5,-2.4183964594494993,3.1861196720967855,-3.5,-0.6672993436878122,-0.5065077700316075,0,0.10608273928782978,-0.13975884772499475,0,0,70,0,0,0
411,20.55,-2.4516282146119064,3.160620049502761,-3.5,-0.6619587152204323,-0.5134678125572151,0,0.10754044718563785,-0.13864030911441652,0,0,70,0,0,0
412,20.6,-2.4845911211132425,3.134773829303358,-3.5,-0.6565454955203316,-0.5203715475509194,0,0.10898636206154134,-0.1375065670316096,0,0,70,0,0,0
413,20.65,-2.517281564199349,3.108583845827884,-3.5,-0.6510602782080525,-0.5272182179403798,0,0.11042032535468,-0.13635774580416962,0,0,70,0,0,0
414,20.700000000000003,-2.549695958994759,3.082052971103157,-3.5,-0.6455036647994848,-0.5340070729110344,0,0.11184217981481966,-0.13519397141329,0,0,70,0,0,0
415,20.75,-2.581830750895803,3.055184114538568,-3.5,-0.6398762646399069,-0.5407373679884315,0,0.11325176951959581,-0.1340153714799473,0,0,70,0,0,0
416,20.8,-2.613682415960422,3.0279802226070256,-3.5,-0.6341786948371612,-0.5474083651198722,0,0.11464893989161265,-0.13282207525090595,0,0,70,0,0,0
417,20.85,-2.645247461294608,3.0004442785218375,-3.5,-0.6284115801939821,-0.5540193327553461,0,0.1160335377153943,-0.13161421358454448,0,0,70,0,0,0
418,20.9,-2.6765224254354316,2.972579301909578,-3.5,-0.6225755531394803,-0.5605695459277524,0,0.1174054111541862,-0.13039191893650623,0,0,70,0,0,0
419,20.950000000000003,-2.707503878730644,2.9443883484789364,-3.5,-0.6166712536597873,-0.5670582863324041,0,0.11876440976660653,-0.12915532534517304,0,0,70,0,0,0
420,21.0,-2.738188423714755,2.9158745096856458,-3.5,-0.6106993292278776,-0.5734848424057926,0,0.12011038452314256,-0.12790456841696765,0,0,70,0,0,0
421,21.05,-2.7685726954816268,2.887040912393449,-3.5,-0.6046604347325621,-0.5798485094036248,0,0.12144318782249462,-0.12663978531148187,0,0,70,0,0,0
422,21.1,-2.798653362053462,2.857890718531213,-3.5,-0.5985552324066743,-0.5861485894781021,0,0.12276267350776168,-0.12536111472643593,0,0,70,0,0,0
423,21.15,-2.82842712474619,2.8284271247461903,-3.5,-0.5923843917544488,-0.5923843917544488,0,0.12406869688246895,-0.12406869688246897,0,0,70,0,0,0
424,21.200000000000003,-2.857890718531214,2.7986533620534613,-3.5,-0.5861485894781019,-0.5985552324066744,0,0.125361114726436,-0.12276267350776164,0,0,70,0,0,0
425,21.25,-2.8870409123934486,2.768572695481627,-3.5,-0.5798485094036248,-0.6046604347325621,0,0.12663978531148185,-0.12144318782249465,0,0,70,0,0,0
426,21.3,-2.9158745096856467,2.738188423714754,-3.5,-0.5734848424057924,-0.6106993292278778,0,0.1279045684169677,-0.12011038452314253,0,0,70,0,0,0
427,21.35,-2.9443883484789386,2.7075038787306416,-3.5,-0.5670582863324036,-0.6166712536597878,0,0.12915532534517316,-0.11876440976660643,0,0,70,0,0,0
428,21.4,-2.972579301909576,2.6765224254354334,-3.5,-0.5605695459277528,-0.62257555313948,0,0.13039191893650615,-0.11740541115418629,0,0,70,0,0,0
429,21.450000000000003,-3.0004442785218384,2.6452474612946073,-3.5,-0.5540193327553459,-0.6284115801939822,0,0.13161421358454453,-0.11603353771539425,0,0,70,0,0,0
430,21.5,-3.0279802226070265,2.613682415960421,-3.5,-0.5474083651198721,-0.6341786948371614,0,0.13282207525090597,-0.11464893989161261,0,0,70,0,0,0
431,21.55,-3.055184114538569,2.581830750895802,-3.5,-0.5407373679884313,-0.6398762646399071,0,0.13401537147994735,-0.11325176951959579,0,0,70,0,0,0
432,21.6,-3.0820529711031566,2.5496959589947594,-3.5,-0.5340070729110346,-0.6455036647994847,0,0.13519397141328998,-0.11184217981481967,0,0,70,0,0,0
433,21.65,-3.1085838458278836,2.5172815641993496,-3.5,-0.52721821794038,-0.6510602782080525,0,0.1363577458041696,-0.11042032535468002,0,0,70,0,0,0
434,21.700000000000003,-3.13477382930336,2.4845911211132408,-3.5,-0.520371547550919,-0.6565454955203319,0,0.13750656703160968,-0.10898636206154126,0,0,70,0,0,0
435,21.75,-3.1606200495027617,2.4516282146119055,-3.5,-0.5134678125572149,-0.6619587152204323,0,0.13864030911441652,-0.10754044718563781,0,0,70,0,0,0
436,21.8,-3.186119672096785,2.4183964594494998,-3.5,-0.5065077700316076,-0.6672993436878121,0,0.13975884772499472,-0.1060827392878298,0,0,70,0,0,0
437,21.85,-3.2112699007644583,2.384899499862463,-3.5,-0.4994921832211923,-0.6725667952623764,0,0.1408620602029808,-0.10461339822221499,0,0,70,0,0,0
438,21.9,-3.2360679774997894,2.351141009169893,-3.5,-0.4924218214641219,-0.6777604923087013,0,0.14194982556869448,-0.10313258511859932,0,0,70,0,0,0
439,21.950000000000003,-3.2605111829142173,2.317124689370715,-3.5,-0.48529746010523794,-0.6828798652793782,0,0.14302202453640547,-0.10164046236482677,0,0,70,0,0,0
440,22.0,-3.284596836534816,2.282854270737727,-3.5,-0.47811988041104847,-0.6879243527774702,0,0.14407853952741423,-0.10013719358897202,0,0,70,0,0,0
441,22.05,-3.3083222970982478,2.248333511408522,-3.5,-0.47088986948405037,-0.6928934016180776,0,0.1451192546829463,-0.09862294364139661,0,0,70,0,0,0
442,22.1,-3.3316849628403977,2.2135661969733764,-3.5,-0.4636082201764171,-0.6977864668889985,0,0.14614405587685697,-0.0970978785766714,0,0,70,0,0,0
443,22.15,-3.3546822717816958,2.1785561400601092,-3.5,-0.4562757310030517,-0.7026030120104862,0,0.14715283072814697,-0.09556216563536665,0,0,70,0,0,0
444,22.200000000000003,-3.377311702008061,2.143307179915985,-3.5,-0.448893206054021,-0.7073425087940911,0,0.14814546861328598,-0.0940159732257121,0,0,70,0,0,0
445,22.25,-3.3995707719474564,2.1078231819867095,-3.5,-0.44146145490638056,-0.7120044375005807,0,0.14912186067834382,-0.09245947090512978,0,0,70,0,0,0
446,22.3,-3.4214570406420264,2.0721080374925207,-3.5,-0.4339812925353911,-0.7165882868969377,0,0.1500818998509276,-0.09089282936163919,0,0,70,0,0,0
447,22.35,-3.442968108015774,2.0361656630014857,-3.5,-0.4264535392251505,-0.7210935543124203,0,0.1510254808519235,-0.08931622039513998,0,0,70,0,0,0
448,22.4,-3.464101615137755,1.9999999999999998,-3.5,-0.418879020478639,-0.7255197456936872,0,0.1519525002070415,-0.08772981689857205,0,0,70,0,0,0
449,22.450000000000003,-3.4848552444807583,1.9636150144605624,-3.5,-0.41125856692719454,-0.7298663756589742,0,0.15286285625816276,-0.08613379283895604,0,0,70,0,0,0
450,22.5,-3.5052267201754543,1.9270146964068608,-3.5,-0.40359301423942395,-0.7341329675513235,0,0.15375644917448744,-0.08452832323831568,0,0,70,0,0,0
451,22.55,-3.5252138082599696,1.890203059476215,-3.5,-0.3958832030295618,-0.7383190534908546,0,0.15463318096348255,-0.08291358415448453,0,0,70,0,0,0
452,22.6,-3.544814316924859,1.8531841404794465,-3.5,-0.3881299787652896,-0.7424241744260704,0,0.15549295548162734,-0.08128975266179975,0,0,70,0,0,0
453,22.65,-3.564026096753471,1.8159619989581874,-3.5,-0.3803341916750185,-0.7464478801842007,0,0.15633567844495727,-0.07965700683168336,0,0,70,0,0,0
454,22.700000000000003,-3.5828470409576507,1.7785407167397111,-3.5,-0.3724966966546534,-0.7503897295205656,0,0.15716125743940274,-0.07801552571311499,0,0,70,0,0,0
455,22.75,-3.6012750856087745,1.7409243974893087,-3.5,-0.3646183531738433,-0.7542492901669653,0,0.15796960193092363,-0.07636548931299698,0,0,70,0,0,0
